year,period,date,sha_code,org_code,org_name,total_available,general_acute_available,learning_disabilities_available,maternity_available,mental_illness_available,total_occupied,general_acute_occupied,learning_disabilities_occupied,maternity_occupied,mental_illness_occupied
2010,June,6/1/10,Q33,RX1,Nottingham University Hospitals NHS Trust,1642,1523,0,119,0,1407,1323,0,84,0
2010,June,6/1/10,Q33,RXM,Derbyshire Mental Health Services NHS Trust,328,0,36,0,292,318,0,35,0,282
2010,June,6/1/10,Q34,5CN,Herefordshire PCT,72,0,7,0,65,54,0,6,0,48
2010,June,6/1/10,Q34,5M1,South Birmingham PCT,275,260,15,0,0,240,226,14,0,0
2010,June,6/1/10,Q34,5M2,Shropshire County PCT,107,107,0,0,0,103,103,0,0,0
2010,June,6/1/10,Q34,5M3,Walsall Teaching PCT,42,0,42,0,0,17,0,17,0,0
2010,June,6/1/10,Q34,5MV,Wolverhampton City PCT,171,92,5,0,74,156,88,5,0,64
2010,June,6/1/10,Q34,5MX,Heart Of Birmingham Teaching PCT,44,44,0,0,0,42,42,0,0,0
2010,June,6/1/10,Q34,5PG,Birmingham East And North PCT,18,18,0,0,0,15,15,0,0,0
2010,June,6/1/10,Q34,5PH,North Staffordshire PCT,150,150,0,0,0,138,138,0,0,0
2010,June,6/1/10,Q34,5PJ,Stoke On Trent PCT,167,167,0,0,0,165,165,0,0,0
2010,June,6/1/10,Q34,5PK,South Staffordshire PCT,6,0,0,6,0,3,0,0,3,0
2010,June,6/1/10,Q34,5PL,Worcestershire PCT,92,92,0,0,0,82,82,0,0,0
2010,June,6/1/10,Q34,5PM,Warwickshire PCT,130,130,0,0,0,104,104,0,0,0
2010,June,6/1/10,Q34,RBK,Walsall Hospitals NHS Trust,503,467,0,36,0,443,423,0,20,0
2010,June,6/1/10,Q34,RJC,South Warwickshire NHS Foundation Trust,484,414,0,70,0,405,373,0,32,0
2010,June,6/1/10,Q34,RJD,Mid Staffordshire NHS Foundation Trust,436,401,0,35,0,348,335,0,13,0
2010,June,6/1/10,Q34,RJE,University Hospital Of North Staffordshire NHS Trust,1104,1037,0,67,0,1019,975,0,44,0
2010,June,6/1/10,Q34,RJF,Burton Hospitals NHS Foundation Trust,446,402,0,44,0,357,329,0,28,0
2010,June,6/1/10,Q34,RKB,University Hospitals Coventry And Warwickshire NHS Trust,1162,1072,0,90,0,1004,979,0,24,0
2010,June,6/1/10,Q34,RL1,Robert Jones And Agnes Hunt Orthopaedic And District Hospital NHS Trust,203,203,0,0,0,146,146,0,0,0
2010,June,6/1/10,Q34,RL4,The Royal Wolverhampton Hospitals NHS Trust,660,615,0,45,0,608,577,0,31,0
2010,June,6/1/10,Q34,RLQ,Hereford Hospitals NHS Trust,262,241,0,21,0,250,236,0,15,0
2010,June,6/1/10,Q34,RLT,George Eliot Hospital NHS Trust,351,335,0,17,0,312,298,0,14,0
2010,June,6/1/10,Q34,RLU,Birmingham Women's NHS Foundation Trust,138,31,0,107,0,107,16,0,91,0
2010,June,6/1/10,Q34,RLY,North Staffordshire Combined Healthcare NHS Trust,326,0,74,0,252,241,0,64,0,177
2010,June,6/1/10,Q34,RNA,The Dudley Group Of Hospitals NHS Foundation Trust,817,768,0,49,0,552,524,0,28,0
2010,June,6/1/10,Q34,RQ3,Birmingham Children's Hospital NHS Foundation Trust,222,178,0,0,44,191,152,0,0,39
2010,June,6/1/10,Q34,RR1,Heart Of England NHS Foundation Trust,1467,1379,0,88,0,1438,1357,0,81,0
2010,June,6/1/10,Q34,RRE,South Staffordshire and Shropshire Healthcare NHS Foundation Trust,495,0,62,0,433,419,0,30,0,389
2010,June,6/1/10,Q34,RRJ,The Royal Orthopaedic Hospital NHS Foundation Trust,128,128,0,0,0,92,92,0,0,0
2010,June,6/1/10,Q34,RRK,University Hospital Birmingham NHS Foundation Trust,975,975,0,0,0,886,886,0,0,0
2010,June,6/1/10,Q34,RWP,Worcestershire Acute Hospitals NHS Trust,913,820,0,93,0,746,697,0,49,0
2010,June,6/1/10,Q34,RWQ,Worcestershire Mental Health Partnership NHS Trust,218,0,28,0,190,183,0,23,0,160
2010,June,6/1/10,Q34,RXK,Sandwell And West Birmingham Hospitals NHS Trust,1002,960,0,42,0,884,870,0,14,0
2010,June,6/1/10,Q34,RXT,Birmingham And Solihull Mental Health NHS Foundation Trust,743,0,0,0,743,659,0,0,0,659
2010,June,6/1/10,Q34,RXW,Shrewsbury And Telford Hospital NHS Trust,816,748,0,68,0,761,695,0,66,0
2010,June,6/1/10,Q34,RYG,Coventry And Warwickshire Partnership NHS Trust,452,0,151,0,301,390,0,104,0,286
2010,June,6/1/10,Q34,RYK,Dudley and Walsall Mental Health Partnership NHS Trust,211,0,0,0,211,159,0,0,0,159
2010,June,6/1/10,Q34,TAJ,Sandwell Mental Health NHS And Social Care Trust,157,0,31,0,126,112,0,27,0,86
2010,June,6/1/10,Q34,TAM,Solihull Care Trust,86,0,86,0,0,55,0,55,0,0
2010,June,6/1/10,Q35,5P2,Bedfordshire PCT,49,49,0,0,0,43,43,0,0,0
2010,June,6/1/10,Q35,5PQ,Norfolk PCT,249,249,0,0,0,230,230,0,0,0
2010,June,6/1/10,Q35,5PT,Suffolk PCT,23,23,0,0,0,16,16,0,0,0
2010,June,6/1/10,Q35,5PV,West Essex PCT,63,63,0,0,0,61,61,0,0,0
2010,June,6/1/10,Q35,5PW,North East Essex PCT,98,98,0,0,0,94,94,0,0,0
2010,June,6/1/10,Q35,5PX,Mid Essex PCT,50,50,0,0,0,43,43,0,0,0
2010,June,6/1/10,Q35,5PY,South West Essex PCT,112,112,0,0,0,101,101,0,0,0
2010,June,6/1/10,Q35,5QV,Hertfordshire PCT,306,306,0,0,0,283,283,0,0,0
2010,June,6/1/10,Q35,RAJ,Southend University Hospital NHS Foundation Trust,672,629,0,43,0,638,608,0,30,0
2010,June,6/1/10,Q35,RC1,Bedford Hospital NHS Trust,422,394,0,28,0,339,317,0,21,0
2010,June,6/1/10,Q35,RC9,Luton And Dunstable Hospital NHS Foundation Trust,594,541,0,53,0,497,464,0,33,0
2010,June,6/1/10,Q35,RCX,The Queen Elizabeth Hospital King's Lynn NHS Trust,452,432,0,21,0,355,338,0,17,0
2010,June,6/1/10,Q35,RDD,Basildon And Thurrock University Hospitals NHS Foundation Trust,669,631,0,38,0,602,575,0,26,0
2010,June,6/1/10,Q35,RDE,Colchester Hospital University NHS Foundation Trust,660,618,0,43,0,600,576,0,24,0
2010,June,6/1/10,Q35,RGM,Papworth Hospital NHS Foundation Trust,204,204,0,0,0,163,163,0,0,0
2010,June,6/1/10,Q35,RGN,Peterborough And Stamford Hospitals NHS Foundation Trust,623,562,0,62,0,486,457,0,29,0
2010,June,6/1/10,Q35,RGP,James Paget University Hospitals NHS Foundation Trust,464,425,0,39,0,381,364,0,17,0
2010,June,6/1/10,Q35,RGQ,Ipswich Hospital NHS Trust,656,612,0,44,0,551,529,0,23,0
2010,June,6/1/10,Q35,RGR,West Suffolk Hospitals NHS Trust,592,545,0,47,0,381,365,0,15,0
2010,June,6/1/10,Q35,RGT,Cambridge University Hospitals NHS Foundation Trust,965,923,0,42,0,843,817,0,26,0
2010,June,6/1/10,Q35,RM1,Norfolk And Norwich University Hospitals NHS Foundation Trust,964,917,0,47,0,849,823,0,26,0
2010,June,6/1/10,Q35,RMY,Norfolk And Waveney Mental Health NHS Foundation Trust,414,0,0,0,414,314,0,0,0,314
2010,June,6/1/10,Q35,RQ8,Mid Essex Hospital Services NHS Trust,561,532,0,29,0,468,443,0,25,0
2010,June,6/1/10,Q35,RQQ,Hinchingbrooke Health Care NHS Trust,299,262,0,37,0,244,228,0,16,0
2010,June,6/1/10,Q35,RQW,The Princess Alexandra Hospital NHS Trust,477,441,0,36,0,432,403,0,28,0
2010,June,6/1/10,Q35,RRD,North Essex Partnership NHS Foundation Trust,391,0,0,0,391,346,0,0,0,346
2010,June,6/1/10,Q35,RT1,Cambridgeshire And Peterborough NHS Foundation Trust,370,0,16,0,354,337,0,13,0,325
2010,June,6/1/10,Q35,RT6,Suffolk Mental Health Partnership NHS Trust,176,0,34,0,143,147,0,19,0,128
2010,June,6/1/10,Q35,RWG,West Hertfordshire Hospitals NHS Trust,639,580,0,59,0,491,458,0,33,0
2010,June,6/1/10,Q35,RWH,East And North Hertfordshire NHS Trust,853,785,0,68,0,726,684,0,41,0
2010,June,6/1/10,Q35,RWN,South Essex Partnership University NHS Foundation Trust,499,0,18,0,481,465,0,18,0,448
2010,June,6/1/10,Q35,RWR,Hertfordshire Partnership NHS Foundation Trust,671,0,127,0,544,603,0,104,0,498
2010,June,6/1/10,Q35,RYV,Cambridgeshire Community Services NHS Trust,89,89,0,0,0,61,61,0,0,0
2010,June,6/1/10,Q36,5A4,Havering PCT,57,57,0,0,0,53,53,0,0,0
2010,June,6/1/10,Q36,5A9,Barnet PCT,93,93,0,0,0,84,84,0,0,0
2010,June,6/1/10,Q36,5AT,Hillingdon PCT,22,22,0,0,0,17,17,0,0,0
2010,June,6/1/10,Q36,5C4,Tower Hamlets PCT,98,98,0,0,0,86,86,0,0,0
2010,June,6/1/10,Q36,5C9,Haringey Teaching PCT,38,32,6,0,0,29,23,5,0,0
2010,June,6/1/10,Q36,5K7,Camden PCT,32,32,0,0,0,31,31,0,0,0
2010,June,6/1/10,Q36,5K8,Islington PCT,12,0,0,0,12,12,0,0,0,12
2010,June,6/1/10,Q36,5LA,Kensington And Chelsea PCT,62,62,0,0,0,51,51,0,0,0
2010,June,6/1/10,Q36,5LD,Lambeth PCT,33,33,0,0,0,27,27,0,0,0
2010,June,6/1/10,Q36,5LG,Wandsworth PCT,70,70,0,0,0,58,58,0,0,0
2010,June,6/1/10,Q36,RAL,Royal Free Hampstead NHS Trust,639,598,0,39,1,602,566,0,35,1
2010,June,6/1/10,Q36,RAN,Royal National Orthopaedic Hospital NHS Trust,155,155,0,0,0,126,126,0,0,0
2010,June,6/1/10,Q36,RAP,North Middlesex University Hospital NHS Trust,377,348,0,29,0,350,323,0,27,0
2010,June,6/1/10,Q36,RAS,The Hillingdon Hospital NHS Trust,419,381,0,38,0,353,329,0,24,0
2010,June,6/1/10,Q36,RAT,North East London NHS Foundation Trust,310,0,12,0,298,248,0,10,0,239
2010,June,6/1/10,Q36,RAX,Kingston Hospital NHS Trust,543,455,0,88,0,454,416,0,39,0
2010,June,6/1/10,Q36,RC3,Ealing Hospital NHS Trust,363,321,0,42,0,335,295,0,40,0
2010,June,6/1/10,Q36,RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",1160,1106,0,54,0,1048,1026,0,22,0
2010,June,6/1/10,Q36,RFW,West Middlesex University Hospital NHS Trust,419,363,0,56,0,354,313,0,41,0
2010,June,6/1/10,Q36,RGC,Whipps Cross University Hospital NHS Trust,632,567,0,65,0,599,544,0,55,0
2010,June,6/1/10,Q36,RJ1,Guy's And St Thomas' NHS Foundation Trust,1018,924,0,94,0,799,751,0,48,0
2010,June,6/1/10,Q36,RJ2,The Lewisham Hospital NHS Trust,445,403,0,42,0,386,356,0,30,0
2010,June,6/1/10,Q36,RJ6,Mayday Healthcare NHS Trust,622,566,0,56,0,543,513,0,31,0
2010,June,6/1/10,Q36,RJ7,St George's Healthcare NHS Trust,929,866,0,63,0,725,662,0,63,0
2010,June,6/1/10,Q36,RJZ,King's College Hospital NHS Foundation Trust,859,803,0,56,0,764,715,0,49,0
2010,June,6/1/10,Q36,RKE,The Whittington Hospital NHS Trust,332,291,0,40,0,308,273,0,35,0
2010,June,6/1/10,Q36,RKL,West London Mental Health NHS Trust,664,0,0,0,664,616,0,0,0,616
2010,June,6/1/10,Q36,RNJ,Barts And The London NHS Trust,838,788,0,50,0,741,701,0,41,0
2010,June,6/1/10,Q36,RP4,Great Ormond Street Hospital For Children NHS Trust,257,249,0,0,8,230,224,0,0,7
2010,June,6/1/10,Q36,RP6,Moorfields Eye Hospital NHS Foundation Trust,7,7,0,0,0,7,7,0,0,0
2010,June,6/1/10,Q36,RPG,Oxleas NHS Foundation Trust,482,0,11,0,471,459,0,5,0,454
2010,June,6/1/10,Q36,RPY,The Royal Marsden NHS Foundation Trust,187,187,0,0,0,154,154,0,0,0
2010,June,6/1/10,Q36,RQM,Chelsea And Westminster Hospital NHS Foundation Trust,440,375,0,64,0,388,344,0,45,0
2010,June,6/1/10,Q36,RQX,Homerton University Hospital NHS Foundation Trust,404,363,0,41,0,345,317,0,27,0
2010,June,6/1/10,Q36,RQY,South West London And St George's Mental Health NHS Trust,602,0,11,0,591,530,0,7,0,523
2010,June,6/1/10,Q36,RRP,"Barnet, Enfield And Haringey Mental Health NHS Trust",575,0,0,0,575,549,0,0,0,549
2010,June,6/1/10,Q36,RRV,University College London Hospitals NHS Foundation Trust,959,895,0,52,12,789,735,0,47,8
2010,June,6/1/10,Q36,RT3,Royal Brompton And Harefield NHS Foundation Trust,375,375,0,0,0,364,364,0,0,0
2010,June,6/1/10,Q36,RV5,South London And Maudsley NHS Foundation Trust,924,0,22,0,902,885,0,21,0,863
2010,June,6/1/10,Q36,RV8,North West London Hospitals NHS Trust,714,617,0,97,0,616,572,0,44,0
2010,June,6/1/10,Q36,RVL,Barnet and Chase Farm Hospitals NHS Trust,896,840,0,56,0,728,685,0,43,0
2010,June,6/1/10,Q36,RVR,Epsom And St Helier University Hospitals NHS Trust,861,769,0,92,0,667,627,0,40,0
2010,June,6/1/10,Q36,RWK,East London NHS Foundation Trust,665,0,0,0,665,610,0,0,0,610
2010,June,6/1/10,Q36,RYJ,Imperial College Healthcare NHS Trust,1307,1220,0,87,0,1023,938,0,86,0
2010,June,6/1/10,Q36,RYQ,South London Healthcare NHS Trust,1232,1125,0,107,0,1088,1001,0,87,0
2010,June,6/1/10,Q36,TAF,Camden And Islington NHS Foundation Trust,262,0,4,0,258,226,0,2,0,225
2010,June,6/1/10,Q37,5L3,Medway PCT,15,15,0,0,0,11,11,0,0,0
2010,June,6/1/10,Q37,5P5,Surrey PCT,301,301,0,0,0,252,252,0,0,0
2010,June,6/1/10,Q37,5P6,West Sussex PCT,313,303,10,0,0,284,277,6,0,0
2010,June,6/1/10,Q37,5QA,Eastern And Coastal Kent PCT,168,168,0,0,0,147,147,0,0,0
2010,June,6/1/10,Q37,RA2,Royal Surrey County NHS Foundation Trust,512,455,0,57,0,432,408,0,24,0
2010,June,6/1/10,Q37,RDR,South Downs Health NHS Trust,135,135,0,0,0,124,124,0,0,0
2010,June,6/1/10,Q37,RDU,Frimley Park Hospital NHS Foundation Trust,603,560,0,43,0,522,489,0,33,0
2010,June,6/1/10,Q37,RN7,Dartford And Gravesham NHS Trust,435,395,0,40,0,404,384,0,20,0
2010,June,6/1/10,Q37,RPA,Medway NHS Foundation Trust,598,534,7,57,0,522,478,6,38,0
2010,June,6/1/10,Q37,RPC,Queen Victoria Hospital NHS Foundation Trust,64,64,0,0,0,62,62,0,0,0
2010,June,6/1/10,Q37,RTK,Ashford And St Peter's Hospitals NHS Trust,575,521,0,54,0,501,469,0,32,0
2010,June,6/1/10,Q37,RTP,Surrey And Sussex Healthcare NHS Trust,546,500,0,46,0,512,480,0,33,0
2010,June,6/1/10,Q37,RVV,East Kent Hospitals University NHS Foundation Trust,1123,1044,0,78,0,1069,1019,0,50,0
2010,June,6/1/10,Q37,RWF,Maidstone And Tunbridge Wells NHS Trust,729,663,0,66,0,664,624,0,40,0
2010,June,6/1/10,Q37,RX2,Sussex Partnership NHS Foundation Trust,652,0,13,0,638,570,0,12,0,558
2010,June,6/1/10,Q37,RXC,East Sussex Hospitals NHS Trust,917,869,0,48,0,793,771,0,22,0
2010,June,6/1/10,Q37,RXH,Brighton And Sussex University Hospitals NHS Trust,868,790,0,78,0,751,698,0,54,0
2010,June,6/1/10,Q37,RXX,Surrey and Borders Partnership NHS Foundation Trust,421,0,70,0,351,317,0,61,0,256
2010,June,6/1/10,Q37,RXY,Kent and Medway NHS and Social Care Partnership Trust,633,8,45,0,580,575,8,34,0,533
2010,June,6/1/10,Q37,RYR,Western Sussex Hospitals NHS Trust,956,895,0,61,0,874,839,0,35,0
2010,June,6/1/10,Q38,5CQ,Milton Keynes PCT,103,33,6,0,64,92,30,5,0,57
2010,June,6/1/10,Q38,5L1,Southampton City PCT,251,85,22,0,144,208,72,15,0,121
